OSD.latitude,OSD.longitude
55.914752,9.203741
55.914752,9.203741
55.914752,9.203741
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914752,9.203742
55.914751,9.203742
55.914751,9.203742
55.914751,9.203742
55.91475,9.203743
55.91475,9.203743
55.91475,9.203743
55.914749,9.203743
55.914749,9.203744
55.914749,9.203744
55.914749,9.203744
55.914749,9.203744
55.91475,9.203744
55.91475,9.203744
55.91475,9.203744
55.91475,9.203744
55.91475,9.203744
55.914751,9.203744
55.914751,9.203744
55.914751,9.203744
55.914752,9.203744
55.914752,9.203744
55.914753,9.203743
55.914754,9.203743
55.914755,9.203742
55.914756,9.203741
55.914757,9.20374
55.914758,9.203739
55.91476,9.203738
55.914761,9.203737
55.914762,9.203735
55.914764,9.203734
55.914765,9.203732
55.914767,9.203731
55.914768,9.203728
55.914769,9.203726
55.914771,9.203723
55.914772,9.20372
55.914773,9.203716
55.914775,9.203711
55.914776,9.203706
55.914778,9.203701
55.914779,9.203695
55.91478,9.203689
55.914782,9.203681
55.914783,9.203674
55.914784,9.203666
55.914786,9.203657
55.914787,9.203648
55.914788,9.203639
55.91479,9.20363
55.914791,9.20362
55.914792,9.20361
55.914793,9.203599
55.914795,9.203588
55.914796,9.203577
55.914798,9.203566
55.9148,9.203555
55.914802,9.203544
55.914805,9.203533
55.914807,9.203523
55.91481,9.203512
55.914813,9.203501
55.914816,9.203491
55.91482,9.203481
55.914824,9.203471
55.914828,9.203461
55.914832,9.203451
55.914837,9.203442
55.914841,9.203432
55.914846,9.203423
55.91485,9.203413
55.914855,9.203403
55.914859,9.203392
55.914864,9.203381
55.914869,9.203369
55.914873,9.203357
55.914882,9.203333
55.914887,9.20332
55.914891,9.203307
55.914895,9.203294
55.914899,9.20328
55.914902,9.203266
55.914906,9.203252
55.914909,9.203238
55.914912,9.203224
55.914916,9.20321
55.914919,9.203197
55.914921,9.203184
55.914924,9.203173
55.914926,9.203162
55.914928,9.203154
